"STATION","NAME","DATE","TMAX"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-06","94"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-07","92"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-08","91"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-09","87"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-10","83"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-11","79"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-12","84"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-13","88"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-14","87"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-15","79"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-16","82"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-17","83"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-18","84"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-19","88"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-20","84"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-21","80"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-22","78"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-23","69"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-24","70"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-25","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-26","65"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-27","74"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-28","75"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-29","72"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-11-30","68"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-01","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-02","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-03","74"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-04","74"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-05","75"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-06","73"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-07","70"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-08","59"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-09","58"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-10","56"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-11","57"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-12","60"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-13","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-14","58"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-15","59"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-16","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-17","65"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-18","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-19","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-20","66"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-21","61"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-22","57"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-23","61"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-24","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-25","59"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-26","57"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-27","55"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-28","55"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-29","57"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-30","61"
"USW00023183","PHOENIX AIRPORT, AZ US","2007-12-31","65"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-01","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-02","71"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-03","71"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-04","73"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-05","67"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-06","62"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-07","59"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-08","62"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-09","63"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-10","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-11","65"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-12","68"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-13","68"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-14","69"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-15","66"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-16","61"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-17","58"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-18","59"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-19","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-20","66"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-21","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-22","66"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-23","66"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-24","59"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-25","65"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-26","71"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-27","59"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-28","64"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-29","60"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-30","60"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-01-31","57"
"USW00023183","PHOENIX AIRPORT, AZ US","2008-02-01","62"
